Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,x0,x1
-0.08181753539058585,-0.10222856750127297,-0.08017470429291508,-0.09755537195578888,-0.09364871415836785,-1.0,-1.0
-0.10172794283141082,-0.09617304696717335,-0.09124528018979017,-0.09061086536253177,-0.09891908021385093,-0.9797979797979798,-1.0
-0.09835759559181319,-0.11443783902586317,-0.09211090338845855,-0.10303496738024728,-0.06876816619910084,-0.9595959595959596,-1.0
-0.10117353743481299,-0.0740411431292014,-0.10907877824689619,-0.08350786613033817,-0.09296477250928205,-0.9393939393939394,-1.0
-0.0790449510974305,-0.10563338324262592,-0.09047290941582127,-0.09188204259094639,-0.08660292897489545,-0.9191919191919192,-1.0
-0.10783980781592814,-0.09324189450368735,-0.08837201063981517,-0.10067019319824655,-0.06899960967650967,-0.898989898989899,-1.0
-0.06435315263340136,-0.07677245610398574,-0.08262868509039076,-0.08827833794678466,-0.09089359432412858,-0.8787878787878788,-1.0
-0.08622107230240866,-0.09106188415952994,-0.0848790100616961,-0.07262325155378385,-0.08452536987276052,-0.8585858585858586,-1.0
-0.07203484056195042,-0.0858047537111448,-0.07566341321228069,-0.07190273119642177,-0.07334919926415105,-0.8383838383838383,-1.0
-0.07411948573221745,-0.08071585812671184,-0.07639796228103837,-0.08310054830689814,-0.07492448155523694,-0.8181818181818181,-1.0
-0.053163691036838816,-0.06227022996182431,-0.08092341794091538,-0.06159807351701974,-0.07971241653150662,-0.797979797979798,-1.0
-0.08427612905755102,-0.04075264183442491,-0.054828498157578634,-0.06455459124597723,-0.06572348706845035,-0.7777777777777778,-1.0
-0.06249091609580662,-0.05885135012568751,-0.05045356363359625,-0.05501602009080133,-0.06285503352568397,-0.7575757575757576,-1.0
-0.058371299068972385,-0.0657100099734234,-0.03743502488575874,-0.05120822406856487,-0.04849603949619327,-0.7373737373737373,-1.0
-0.03809808074167084,-0.04404519195921733,-0.048935438743256614,-0.06100393777421664,-0.06608366045974216,-0.7171717171717171,-1.0
-0.054949184137211685,-0.04991186846213605,-0.04799704561008029,-0.04044029993324606,-0.05095206184097089,-0.696969696969697,-1.0
-0.039766855760047015,-0.03823387864975417,-0.04349617316073796,-0.04411144651551668,-0.026528663589670952,-0.6767676767676767,-1.0
-0.04045992699659863,-0.019931330622382,-0.047146115973214595,-0.01621154952722764,-0.013108032745071791,-0.6565656565656566,-1.0
-0.02441396133080144,-0.032314808290895995,-0.015012424455375767,-0.01760268271047879,-0.039947894374841024,-0.6363636363636364,-1.0
-0.011649646167478798,-0.01738754579490377,-0.028488474605751775,-0.01701644263233537,-0.011029323195709236,-0.6161616161616161,-1.0
-0.02058564698644435,-0.018360534146718555,-0.021429920484516862,-0.019409371748500458,-0.019385534066501356,-0.5959595959595959,-1.0
0.010330443537815984,-0.0026811352644263934,-0.0031732925548055672,-0.0005724661719285798,-0.009685325107741055,-0.5757575757575757,-1.0
0.016946986513494248,0.010496783827579249,0.022792562858312194,0.009530008658292573,-0.0007877125249902434,-0.5555555555555556,-1.0
0.022605937026079236,0.007693203149364336,0.019948156309329678,0.005491512045771347,0.01335591434543661,-0.5353535353535352,-1.0
0.036853607704219665,0.02445682855128358,0.017607196812310863,0.050078650380687234,0.037809446480709163,-0.5151515151515151,-1.0
0.031892689999142194,0.03636812828235951,0.03160003658976503,0.04267292073802944,0.0458541812996512,-0.4949494949494949,-1.0
0.0490076084999227,0.04385996063026617,0.056488960416737476,0.06716008790749071,0.05082795318729958,-0.4747474747474747,-1.0
0.053001234200005534,0.05048280567874337,0.06075379491072698,0.051230807004058486,0.05872581975777705,-0.4545454545454545,-1.0
0.07240564213617562,0.06087235065939452,0.06739615942924349,0.09144199835045107,0.07511741136177688,-0.43434343434343425,-1.0
0.09369684488826215,0.0868583382641108,0.08609298299810089,0.07478363430251535,0.08733398580030605,-0.41414141414141414,-1.0
0.09534107694077104,0.099567114855864,0.10970824712207784,0.09574542612472614,0.11018821765264383,-0.3939393939393939,-1.0
0.11267497189070375,0.13895617504812957,0.13640361499052656,0.12206702024329683,0.11032679086134137,-0.3737373737373737,-1.0
0.1246332073285432,0.10715725856452876,0.11906370104017983,0.13198499680164608,0.1314429852448816,-0.3535353535353535,-1.0
0.13834263090105042,0.1479219523642041,0.14053051820415394,0.12321395098592205,0.14578401119794518,-0.33333333333333326,-1.0
0.15574188872782793,0.16615879540282846,0.15441668909043035,0.1513985095980021,0.16193126852767753,-0.31313131313131304,-1.0
