xplot yplot Bspline_fit Pspline_fit c0 c1 c10 c100 c1000 c10000
0.1 -0.03781487646809164 -0.04012523251674441 -0.11627841839309083 -0.11627841839309083 -0.11627841848997263 -0.11627841905481553 -0.11627842004270805 -0.11627842038919133 -0.11627842043271057
0.1035175879396985 -0.0010290363518134721 -0.15420575668938752 -0.10597766429169553 -0.10597766429169553 -0.10597766441614329 -0.10597766515593662 -0.10597766655520634 -0.10597766708083609 -0.10597766714916895
0.107035175879397 -0.20815817288577093 -0.196599060487403 -0.09564460030366734 -0.09564460030366734 -0.09564460045522755 -0.09564460136726305 -0.09564460317269857 -0.09564460387548895 -0.09564460396835409
0.11055276381909548 0.170498559142724 -0.18838582889985014 -0.08530098046687648 -0.08530098046687648 -0.08530098064476382 -0.08530098172433985 -0.08530098392680896 -0.08530098480325493 -0.08530098492016538
0.11407035175879397 -0.17169419405675554 -0.1506467469157891 -0.07496855881919307 -0.07496855881919307 -0.07496855902229041 -0.07496856026271209 -0.07496856284916159 -0.07496856389423898 -0.07496856403450221
0.11758793969849246 -0.07515544417392574 -0.10439878638640245 -0.06466935957110131 -0.06466935957110131 -0.06466935979795661 -0.06466936119051649 -0.0646693641439311 -0.06466936535107955 -0.06466936551379518
0.12110552763819096 0.060896418358224506 -0.06378723465373572 -0.05445454599340396 -0.05445454599340396 -0.0544545462418927 -0.05445454777379313 -0.054454551068748594 -0.0544545524280432 -0.05445455261185605
0.12462311557788945 -0.11208244560295297 -0.030039887402787367 -0.04443005738279061 -0.04443005738279061 -0.04443005764948126 -0.04443005929992877 -0.04443006289423285 -0.04443006438894688 -0.04443006459158279
0.12814070351758794 -0.09122838183817991 -0.002958486155899647 -0.03470788015266669 -0.03470788015266669 -0.034707880432750776 -0.03470788217252488 -0.03470788600629447 -0.03470788761251995 -0.034707887830734564
0.13165829145728644 -0.07389431818056402 0.017655227564585034 -0.02540000071643779 -0.02540000071643779 -0.025400001003729807 -0.025400002795183 -0.02540000679084419 -0.02540000847749188 -0.02540000870707061
0.13517587939698494 0.07495095403482359 0.03202563401498994 -0.016614376127652396 -0.016614376127652396 -0.01661437641455511 -0.016614378211395286 -0.01661438227319026 -0.01661438400177955 -0.016614384237508984
0.13869346733668342 0.2522291556852871 0.04091572058440031 -0.008375881732932848 -0.008375881732932848 -0.008375882009721426 -0.008375883752524948 -0.00837588775634568 -0.008375889476672276 -0.008375889711750087
0.14221105527638192 0.03081696777740127 0.04559464054737973 -0.0006313153281312994 -0.0006313153281312994 -0.0006313155822805236 -0.000631317194275568 -0.0006313209781098877 -0.0006313226241743868 -0.0006313228496548154
0.14572864321608042 -0.0809706980478477 0.04735117285742908 0.006675552608598753 0.006675552608598753 0.00667555239244055 0.006675551005537486 0.006675547641976358 0.0066755461521263 0.0066755459473539554
0.1492462311557789 0.08944711387748469 0.04747409646804937 0.013600951599103791 0.013600951599103791 0.01360095143911474 0.013600950389098835 0.013600947684372276 0.013600946448641958 0.013600946277853345
0.1527638190954774 -0.018733909255127135 0.047163778547761076 0.020215044712737593 0.020215044712737593 0.02021504462995967 0.02021504404639704 0.020215042278100108 0.020215041410715038 0.02021504128940179
0.1562814070351759 0.04499611822696566 0.04693634148891338 0.02669583083618718 0.02669583083618718 0.026695830854815576 0.026695830887049708 0.026695830377685893 0.02669583001203412 0.0266958299582989
0.15979899497487438 0.17119191865424171 0.04698873516181851 0.03327160990480355 0.03327160990480355 0.03327161005232162 0.03327161087040929 0.03327161199013086 0.03327161228008879 0.033271612314829585
0.16331658291457288 -0.013483858502437412 0.04751611595955764 0.040170964502910536 0.040170964502910536 0.04017096481009058 0.04017096660480712 0.040170969771430504 0.04017097089137038 0.040170971038281496
0.16683417085427138 0.07072321360977891 0.04871364262432321 0.047622477406767574 0.047622477406767574 0.04762247790767078 0.04762248089050975 0.047622486569514844 0.04762248871430447 0.04762248899987654
