xplot yplot ytrue Bspline_fit Pspline_fit SCP_spline_fit
0.1 -0.03781487646809164 0.0038609082724554255 -0.04012523251674441 -0.11627841839309083 -0.11627842043111083
0.1035175879396985 -0.0010290363518134721 0.004597646370819475 -0.15420575668938752 -0.10597766429169553 -0.10597766714540714
0.107035175879397 -0.20815817288577093 0.005461436681074485 -0.196599060487403 -0.09564460030366734 -0.09564460396246499
0.11055276381909548 0.170498559142724 0.006471478302225119 -0.18838582889985014 -0.08530098046687648 -0.08530098491220106
0.11407035175879397 -0.17169419405675554 0.007649364462730801 -0.1506467469157891 -0.07496855881919307 -0.07496856402453193
0.11758793969849246 -0.07515544417392574 0.009019292391694673 -0.10439878638640245 -0.06466935957110131 -0.06466936550190562
0.12110552763819096 0.060896418358224506 0.01060827664242022 -0.06378723465373572 -0.05445454599340396 -0.054454552598169434
0.12462311557788945 -0.11208244560295297 0.012446363057770193 -0.030039887402787367 -0.04443005738279061 -0.044430064576291145
0.12814070351758794 -0.09122838183817991 0.014566840048053994 -0.002958486155899647 -0.03470788015266669 -0.034707887814103444
0.13165829145728644 -0.07389431818056402 0.017006443312120922 0.017655227564585034 -0.02540000071643779 -0.02540000868943911
0.13517587939698494 0.07495095403482359 0.019805549580181155 0.03202563401498994 -0.016614376127652396 -0.01661438421929192
0.13869346733668342 0.2522291556852871 0.023008354403791325 0.04091572058440031 -0.008375881732932848 -0.008375889693482755
0.14221105527638192 0.03081696777740127 0.026663028477560923 0.04559464054737973 -0.0006313153281312994 -0.0006313228320350538
0.14572864321608042 -0.0809706980478477 0.03082184646350397 0.04735117285742908 0.006675552608598753 0.006675545963464128
0.1492462311557789 0.08944711387748469 0.03554128181940581 0.04747409646804937 0.013600951599103791 0.013600946291427727
0.1527638190954774 -0.018733909255127135 0.040882060725519566 0.047163778547761076 0.020215044712737593 0.020215041299246082
0.1562814070351759 0.04499611822696566 0.04690916787908081 0.04693634148891338 0.02669583083618718 0.026695829963020376
0.15979899497487438 0.17119191865424171 0.05369179670421262 0.04698873516181851 0.03327160990480355 0.03327161231282294
0.16331658291457288 -0.013483858502437412 0.061303236426948834 0.04751611595955764 0.040170964502910536 0.04017097102772879
0.16683417085427138 0.07072321360977891 0.0698206885124464 0.04871364262432321 0.047622477406767574 0.04762248897874716
0.17035175879396985 -0.00848578414959883 0.07932500517443537 0.05080147783845147 0.055856774356818795 0.05585679198642153
0.17386934673366836 0.07425692602616911 0.08990034306463147 0.05408651582073573 0.06511156755354813 0.06511159228051716
0.17738693467336686 0.12729077104930225 0.1016337258491727 0.058894443679968385 0.07562610468348571 0.07562613756583428
0.18090452261306533 0.01573660531721545 0.11461451019417764 0.06555094852494178 0.08763963343316161 0.08763967554717306
0.18442211055276383 0.09505155412064348 0.1289337507235631 0.07438375162615021 0.10139076579286505 0.10139081823161268
